result,graph,config,type,operation,method,generator
4.15E-03,er01,0,vertex,addition,adjlist,Erdos Renyi 
4.14E-03,er01,0,vertex,addition,adjlist,Erdos Renyi 
4.77E-03,er01,0,vertex,addition,adjlist,Erdos Renyi 
4.21E-03,er01,0,vertex,addition,adjlist,Erdos Renyi 
4.10E-03,er01,0,vertex,addition,adjlist,Erdos Renyi 
4.20E-03,er02,0,vertex,addition,adjlist,Erdos Renyi 
4.06E-03,er02,0,vertex,addition,adjlist,Erdos Renyi 
4.28E-03,er02,0,vertex,addition,adjlist,Erdos Renyi 
4.13E-03,er02,0,vertex,addition,adjlist,Erdos Renyi 
4.17E-03,er02,0,vertex,addition,adjlist,Erdos Renyi 
4.14E-03,er03,0,vertex,addition,adjlist,Erdos Renyi 
4.07E-03,er03,0,vertex,addition,adjlist,Erdos Renyi 
4.14E-03,er03,0,vertex,addition,adjlist,Erdos Renyi 
4.19E-03,er03,0,vertex,addition,adjlist,Erdos Renyi 
4.00E-03,er03,0,vertex,addition,adjlist,Erdos Renyi 
4.53E-03,er04,1,vertex,addition,adjlist,Erdos Renyi 
4.42E-03,er04,1,vertex,addition,adjlist,Erdos Renyi 
4.47E-03,er04,1,vertex,addition,adjlist,Erdos Renyi 
4.48E-03,er04,1,vertex,addition,adjlist,Erdos Renyi 
4.52E-03,er04,1,vertex,addition,adjlist,Erdos Renyi 
4.12E-03,er05,1,vertex,addition,adjlist,Erdos Renyi 
4.14E-03,er05,1,vertex,addition,adjlist,Erdos Renyi 
4.17E-03,er05,1,vertex,addition,adjlist,Erdos Renyi 
4.13E-03,er05,1,vertex,addition,adjlist,Erdos Renyi 
4.18E-03,er05,1,vertex,addition,adjlist,Erdos Renyi 
4.14E-03,er06,1,vertex,addition,adjlist,Erdos Renyi 
4.08E-03,er06,1,vertex,addition,adjlist,Erdos Renyi 
4.01E-03,er06,1,vertex,addition,adjlist,Erdos Renyi 
4.09E-03,er06,1,vertex,addition,adjlist,Erdos Renyi 
4.05E-03,er06,1,vertex,addition,adjlist,Erdos Renyi 
4.00E-03,er07,2,vertex,addition,adjlist,Erdos Renyi 
4.02E-03,er07,2,vertex,addition,adjlist,Erdos Renyi 
4.13E-03,er07,2,vertex,addition,adjlist,Erdos Renyi 
4.08E-03,er07,2,vertex,addition,adjlist,Erdos Renyi 
4.13E-03,er07,2,vertex,addition,adjlist,Erdos Renyi 
4.10E-03,er08,2,vertex,addition,adjlist,Erdos Renyi 
