infProb,recProb,numvert,degrees,iteration,totalinf,newinf,newrec
0.25,0.25,500,2,1,5,0,1
0.25,0.25,500,2,2,5,0,1
0.25,0.25,500,2,3,5,0,0
0.25,0.25,500,2,4,7,2,1
0.25,0.25,500,2,5,9,2,0
0.25,0.25,500,2,6,12,3,1
0.25,0.25,500,2,7,14,2,3
0.25,0.25,500,2,8,16,2,2
0.25,0.25,500,2,9,18,2,2
0.25,0.25,500,2,10,18,0,1
0.25,0.25,500,2,11,22,4,2
0.25,0.25,500,2,12,27,5,0
0.25,0.25,500,2,13,31,4,3
0.25,0.25,500,2,14,32,1,5
0.25,0.25,500,2,15,35,3,1
0.25,0.25,500,2,16,40,5,2
0.25,0.25,500,2,17,46,6,2
0.25,0.25,500,2,18,52,6,6
0.25,0.25,500,2,19,57,5,5
0.25,0.25,500,2,20,59,2,6
0.25,0.25,500,2,21,61,2,4
0.25,0.25,500,2,22,66,5,3
0.25,0.25,500,2,23,71,5,6
0.25,0.25,500,2,24,75,4,5
0.25,0.25,500,2,25,75,0,7
0.25,0.25,500,2,26,77,2,0
0.25,0.25,500,2,27,81,4,3
0.25,0.25,500,2,28,83,2,3
0.25,0.25,500,2,29,85,2,2
0.25,0.25,500,2,30,86,1,3
0.25,0.25,500,2,31,88,2,3
0.25,0.25,500,2,32,89,1,0
0.25,0.25,500,2,33,89,0,5
0.25,0.25,500,2,34,89,0,0
0.25,0.25,500,2,35,89,0,1
0.25,0.25,500,2,36,89,0,0
0.25,0.25,500,2,37,89,0,0
0.25,0.25,500,2,38,89,0,0
0.25,0.25,500,2,39,89,0,0
0.25,0.25,500,2,40,89,0,0
0.25,0.25,500,2,41,89,0,0
0.25,0.25,500,2,42,89,0,0
0.25,0.25,500,2,43,89,0,0
0.25,0.25,500,2,44,89,0,0
0.25,0.5,500,2,1,5,0,2
0.25,0.5,500,2,2,5,0,3
0.25,0.5,500,2,3,5,0,0
0.25,0.5,500,2,4,5,0,0
0.25,0.5,500,2,5,5,0,0
0.25,0.5,500,2,6,5,0,0
0.25,0.5,500,2,7,5,0,0
0.25,0.5,500,2,8,5,0,0
0.25,0.5,500,2,9,5,0,0
0.25,0.5,500,2,10,5,0,0
0.25,0.5,500,2,11,5,0,0
0.25,0.75,500,2,1,10,5,4
0.25,0.75,500,2,2,13,3,4
0.25,0.75,500,2,3,14,1,3
0.25,0.75,500,2,4,14,0,3
0.25,0.75,500,2,5,14,0,0
0.25,0.75,500,2,6,14,0,0
0.25,0.75,500,2,7,14,0,0
0.25,0.75,500,2,8,14,0,0
0.25,0.75,500,2,9,14,0,0
0.25,0.75,500,2,10,14,0,0
0.25,0.75,500,2,11,14,0,0
0.25,0.75,500,2,12,14,0,0
0.25,0.75,500,2,13,14,0,0
0.5,0.25,500,2,1,8,3,2
0.5,0.25,500,2,2,11,3,3
0.5,0.25,500,2,3,14,3,2
0.5,0.25,500,2,4,19,5,3
0.5,0.25,500,2,5,28,9,5
0.5,0.25,500,2,6,38,10,6
0.5,0.25,500,2,7,47,9,4
0.5,0.25,500,2,8,56,9,4
0.5,0.25,500,2,9,68,12,8
0.5,0.25,500,2,10,91,23,5
0.5,0.25,500,2,11,112,21,9
0.5,0.25,500,2,12,147,35,17
0.5,0.25,500,2,13,179,32,23
0.5,0.25,500,2,14,211,32,24
0.5,0.25,500,2,15,241,30,28
0.5,0.25,500,2,16,259,18,19
0.5,0.25,500,2,17,278,19,27
0.5,0.25,500,2,18,291,13,22
0.5,0.25,500,2,19,302,11,17
0.5,0.25,500,2,20,312,10,17
0.5,0.25,500,2,21,319,7,14
0.5,0.25,500,2,22,322,3,18
