infProb,recProb,numvert,degrees,iteration,totalinf,newinf,newrec
0.25,0.25,500,2,1,7,2,0
0.25,0.25,500,2,2,10,3,3
0.25,0.25,500,2,3,13,3,4
0.25,0.25,500,2,4,14,1,1
0.25,0.25,500,2,5,14,0,0
0.25,0.25,500,2,6,14,0,2
0.25,0.25,500,2,7,16,2,0
0.25,0.25,500,2,8,17,1,1
0.25,0.25,500,2,9,17,0,3
0.25,0.25,500,2,10,17,0,0
0.25,0.25,500,2,11,17,0,1
0.25,0.25,500,2,12,18,1,1
0.25,0.25,500,2,13,19,1,0
0.25,0.25,500,2,14,20,1,1
0.25,0.25,500,2,15,20,0,0
0.25,0.25,500,2,16,20,0,0
0.25,0.25,500,2,17,20,0,0
0.25,0.25,500,2,18,20,0,2
0.25,0.25,500,2,19,21,1,0
0.25,0.25,500,2,20,21,0,0
0.25,0.25,500,2,21,21,0,1
0.25,0.25,500,2,22,21,0,0
0.25,0.25,500,2,23,21,0,0
0.25,0.25,500,2,24,21,0,0
0.25,0.25,500,2,25,21,0,0
0.25,0.25,500,2,26,21,0,0
0.25,0.25,500,2,27,21,0,0
0.25,0.25,500,2,28,21,0,0
0.25,0.25,500,2,29,21,0,0
0.25,0.25,500,2,30,21,0,0
0.25,0.25,500,2,31,21,0,0
0.25,0.25,500,2,32,21,0,0
0.25,0.25,500,2,33,21,0,0
0.25,0.25,500,2,34,21,0,0
0.25,0.25,500,2,35,21,0,0
0.25,0.25,500,2,36,21,0,0
0.25,0.25,500,2,37,21,0,1
0.25,0.25,500,2,38,21,0,0
0.25,0.25,500,2,39,21,0,0
0.25,0.25,500,2,40,21,0,0
0.25,0.25,500,2,41,21,0,0
0.25,0.25,500,2,42,21,0,0
0.25,0.25,500,2,43,21,0,0
0.25,0.25,500,2,44,21,0,0
0.25,0.25,500,2,45,21,0,0
0.25,0.25,500,2,46,21,0,0
0.25,0.5,500,2,1,5,0,1
0.25,0.5,500,2,2,5,0,3
0.25,0.5,500,2,3,5,0,0
0.25,0.5,500,2,4,5,0,1
0.25,0.5,500,2,5,5,0,0
0.25,0.5,500,2,6,5,0,0
0.25,0.5,500,2,7,5,0,0
0.25,0.5,500,2,8,5,0,0
0.25,0.5,500,2,9,5,0,0
0.25,0.5,500,2,10,5,0,0
0.25,0.5,500,2,11,5,0,0
0.25,0.5,500,2,12,5,0,0
0.25,0.5,500,2,13,5,0,0
0.25,0.75,500,2,1,7,2,4
0.25,0.75,500,2,2,10,3,3
0.25,0.75,500,2,3,11,1,3
0.25,0.75,500,2,4,12,1,1
0.25,0.75,500,2,5,13,1,0
0.25,0.75,500,2,6,14,1,1
0.25,0.75,500,2,7,14,0,1
0.25,0.75,500,2,8,14,0,0
0.25,0.75,500,2,9,14,0,1
0.25,0.75,500,2,10,14,0,0
0.25,0.75,500,2,11,14,0,0
0.25,0.75,500,2,12,14,0,0
0.25,0.75,500,2,13,14,0,0
