infProb,recProb,numvert,degrees,iteration,totalinf,newinf,newrec
0.25,0.25,500,2,1,7,2,0
0.25,0.25,500,2,2,11,4,2
0.25,0.25,500,2,3,20,9,0
0.25,0.25,500,2,4,41,21,4
0.25,0.25,500,2,5,73,32,6
0.25,0.25,500,2,6,105,32,15
0.25,0.25,500,2,7,133,28,17
0.25,0.25,500,2,8,146,13,22
0.25,0.25,500,2,9,160,14,21
0.25,0.25,500,2,10,164,4,17
0.25,0.25,500,2,11,174,10,12
0.25,0.25,500,2,12,178,4,16
0.25,0.25,500,2,13,185,7,8
0.25,0.25,500,2,14,187,2,13
0.25,0.25,500,2,15,188,1,7
0.25,0.25,500,2,16,190,2,8
0.25,0.25,500,2,17,190,0,2
0.25,0.25,500,2,18,190,0,4
0.25,0.25,500,2,19,190,0,2
0.25,0.25,500,2,20,191,1,4
0.25,0.25,500,2,21,191,0,2
0.25,0.25,500,2,22,191,0,2
0.25,0.25,500,2,23,191,0,1
0.25,0.25,500,2,24,191,0,4
0.25,0.25,500,2,25,191,0,0
0.25,0.25,500,2,26,191,0,1
0.25,0.25,500,2,27,191,0,0
0.25,0.25,500,2,28,191,0,1
0.25,0.25,500,2,29,191,0,0
0.25,0.25,500,2,30,191,0,0
0.25,0.25,500,2,31,191,0,0
0.25,0.25,500,2,32,191,0,0
0.25,0.25,500,2,33,191,0,0
0.25,0.25,500,2,34,191,0,0
0.25,0.25,500,2,35,191,0,0
0.25,0.25,500,2,36,191,0,0
0.25,0.25,500,2,37,191,0,0
0.25,0.5,500,2,1,5,0,2
0.25,0.5,500,2,2,5,0,2
0.25,0.5,500,2,3,5,0,0
0.25,0.5,500,2,4,5,0,1
0.25,0.5,500,2,5,5,0,0
0.25,0.5,500,2,6,5,0,0
0.25,0.5,500,2,7,5,0,0
0.25,0.5,500,2,8,5,0,0
0.25,0.5,500,2,9,5,0,0
0.25,0.5,500,2,10,5,0,0
0.25,0.5,500,2,11,5,0,0
0.25,0.5,500,2,12,5,0,0
0.25,0.5,500,2,13,5,0,0
0.25,0.75,500,2,1,5,0,3
0.25,0.75,500,2,2,5,0,0
0.25,0.75,500,2,3,5,0,1
0.25,0.75,500,2,4,5,0,0
0.25,0.75,500,2,5,5,0,0
0.25,0.75,500,2,6,5,0,1
0.25,0.75,500,2,7,5,0,0
0.25,0.75,500,2,8,5,0,0
0.25,0.75,500,2,9,5,0,0
0.25,0.75,500,2,10,5,0,0
0.25,0.75,500,2,11,5,0,0
0.25,0.75,500,2,12,5,0,0
0.25,0.75,500,2,13,5,0,0
0.25,0.75,500,2,14,5,0,0
0.25,0.75,500,2,15,5,0,0
0.5,0.25,500,2,1,8,3,2
0.5,0.25,500,2,2,14,6,1
0.5,0.25,500,2,3,29,15,1
0.5,0.25,500,2,4,78,49,6
0.5,0.25,500,2,5,143,65,11
0.5,0.25,500,2,6,189,46,42
0.5,0.25,500,2,7,204,15,31
0.5,0.25,500,2,8,212,8,18
0.5,0.25,500,2,9,215,3,21
0.5,0.25,500,2,10,216,1,25
0.5,0.25,500,2,11,218,2,16
0.5,0.25,500,2,12,219,1,14
0.5,0.25,500,2,13,219,0,9
0.5,0.25,500,2,14,219,0,4
0.5,0.25,500,2,15,219,0,4
0.5,0.25,500,2,16,219,0,3
0.5,0.25,500,2,17,219,0,3
0.5,0.25,500,2,18,219,0,0
0.5,0.25,500,2,19,219,0,2
0.5,0.25,500,2,20,219,0,2
0.5,0.25,500,2,21,219,0,2
0.5,0.25,500,2,22,219,0,2
0.5,0.25,500,2,23,219,0,0
0.5,0.25,500,2,24,219,0,0
0.5,0.25,500,2,25,219,0,0
0.5,0.25,500,2,26,219,0,0
0.5,0.25,500,2,27,219,0,0
0.5,0.25,500,2,28,219,0,0
0.5,0.25,500,2,29,219,0,0
0.5,0.25,500,2,30,219,0,0
0.5,0.25,500,2,31,219,0,0
0.5,0.5,500,2,1,10,5,1
0.5,0.5,500,2,2,34,24,5
