generator,graph_id,config,method,khop,time
Erdos Renyi,e1,0,adjlist,2,1.54E-05
Erdos Renyi,e1,0,adjlist,3,2.07E-05
Erdos Renyi,e1,0,adjlist,4,3.77E-05
Erdos Renyi,e2,0,adjlist,2,1.75E-05
Erdos Renyi,e2,0,adjlist,3,1.89E-05
Erdos Renyi,e2,0,adjlist,4,4.19E-05
Erdos Renyi,e3,0,adjlist,2,2.60E-05
Erdos Renyi,e3,0,adjlist,3,1.98E-05
Erdos Renyi,e3,0,adjlist,4,4.82E-05
Erdos Renyi,e4,1,adjlist,2,8.45E-05
Erdos Renyi,e4,1,adjlist,3,4.41E-04
Erdos Renyi,e4,1,adjlist,4,0.004828794
Erdos Renyi,e5,1,adjlist,2,8.75E-05
Erdos Renyi,e5,1,adjlist,3,4.74E-04
Erdos Renyi,e5,1,adjlist,4,0.004946062
Erdos Renyi,e6,1,adjlist,2,1.06E-04
Erdos Renyi,e6,1,adjlist,3,5.71E-04
Erdos Renyi,e6,1,adjlist,4,0.005335082
Erdos Renyi,e7,2,adjlist,2,3.18E-04
Erdos Renyi,e7,2,adjlist,3,0.004686834
Erdos Renyi,e7,2,adjlist,4,0.07807667
Erdos Renyi,e8,2,adjlist,2,2.40E-04
Erdos Renyi,e8,2,adjlist,3,0.004497975
Erdos Renyi,e8,2,adjlist,4,0.078064802
Erdos Renyi,e9,2,adjlist,2,2.61E-04
Erdos Renyi,e9,2,adjlist,3,0.004289169
Erdos Renyi,e9,2,adjlist,4,0.081796734
Erdos Renyi,e10,3,adjlist,2,2.01E-05
Erdos Renyi,e10,3,adjlist,3,2.52E-05
Erdos Renyi,e10,3,adjlist,4,2.85E-05
Erdos Renyi,e11,3,adjlist,2,1.86E-05
Erdos Renyi,e11,3,adjlist,3,1.82E-05
Erdos Renyi,e11,3,adjlist,4,2.77E-05
Erdos Renyi,e12,3,adjlist,2,1.81E-05
Erdos Renyi,e12,3,adjlist,3,1.96E-05
Erdos Renyi,e12,3,adjlist,4,2.04E-05
Erdos Renyi,e13,4,adjlist,2,1.01E-04
Erdos Renyi,e13,4,adjlist,3,9.48E-04
Erdos Renyi,e13,4,adjlist,4,0.048438677
Erdos Renyi,e14,4,adjlist,2,1.00E-04
Erdos Renyi,e14,4,adjlist,3,0.001605361
Erdos Renyi,e14,4,adjlist,4,0.038956614
Erdos Renyi,e15,4,adjlist,2,9.15E-05
